source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude,coeff,price_area,fire,pool,furnish,kitchen,status
8685645,FALSE,FLAT_STUDIO,89000,8430,28,0,False,False,0,True,0,True,False,0,28,GOOD,False,2.7979473,51.1805563,2,2821.4285714286,0,0,10000,0,0
7975392,FALSE,FLAT_STUDIO,89000,8430,28,0,False,False,0,True,0,True,False,0,28,GOOD,False,2.7979936,51.1806278,2,2821.4285714286,0,0,10000,0,0
8484219,FALSE,APARTMENT,94000,8434,33,1,False,False,0,True,0,False,False,0,33,GOOD,False,2.7621168,51.1583638,2,2848.4848484849,0,0,0,0,0
8909887,FALSE,APARTMENT,99900,6000,76,2,True,False,0,False,0,False,False,0,76,GOOD,False,4.4470262,50.4062715,2,1248.6842105263,0,0,0,5000,0
8804082,FALSE,APARTMENT,120000,7000,75,2,True,False,0,True,0,False,False,0,75,,False,3.9265107,50.452885,2,1533.3333333333,0,0,0,5000,0
8491996,FALSE,APARTMENT,175000,8301,42,2,True,False,0,False,0,False,False,0,42,AS_NEW,False,3.2307294,51.3400904,2,3447.6190476191,0,0,0,5000,25200
8553542,FALSE,APARTMENT,195000,2660,63,1,True,False,0,True,24,False,False,0,63,AS_NEW,False,4.3486729,51.1783923,2,1583.908045977,0,0,0,5000,52200
8762355,FALSE,APARTMENT,199000,1770,105,2,True,False,0,False,0,False,False,0,105,AS_NEW,False,4.0934003,50.8683231,2,1247.6190476191,0,0,0,5000,63000
8530346,FALSE,GROUND_FLOOR,210000,8610,93,2,True,True,1,True,10,False,False,0,93,AS_NEW,False,2.9595233,51.0173329,2,1383.5748792271,0,0,0,5000,61800
8676657,FALSE,APARTMENT,224500,2660,77,2,True,False,0,True,7,False,False,0,77,AS_NEW,False,4.3493105,51.1793353,2,2013.0952380952,0,0,0,5000,50400
8676654,FALSE,GROUND_FLOOR,229500,2660,88,2,True,False,0,True,28,False,False,0,88,AS_NEW,False,4.3493105,51.1793353,2,1335.3448275862,0,0,0,5000,69600
8676653,FALSE,GROUND_FLOOR,231500,2660,88,2,True,False,0,True,23,False,False,0,88,AS_NEW,False,4.3493105,51.1793353,2,1440.5405405405,0,0,0,5000,66600
7540268,FALSE,APARTMENT,243225,9190,90,2,True,True,80,True,7,False,False,0,90,,False,4.0404518,51.2067821,2,1738.8686131387,0,0,0,5000,0
8421753,FALSE,GROUND_FLOOR,245000,8870,112,3,True,True,1,True,8,False,False,0,112,AS_NEW,False,3.2156771,50.9127457,2,1394.1908713693,0,0,0,5000,72000
8892124,FALSE,APARTMENT,268000,8730,90,2,False,False,0,True,0,False,False,0,90,GOOD,False,3.3280523,51.128063,2,2977.7777777778,0,0,0,0,0
8624972,FALSE,SERVICE_FLAT,270000,1970,67,1,False,False,0,True,7,False,False,0,67,AS_NEW,False,4.5001947,50.8336069,2,3048.6486486487,0,0,0,0,44400
8815781,FALSE,APARTMENT,285000,8301,48,2,True,False,0,False,0,False,False,0,48,JUST_RENOVATED,False,3.2296389,51.3399265,2,5533.3333333333,0,0,0,5000,14400
8839848,FALSE,APARTMENT,295000,9630,271,2,True,False,0,True,11,False,False,0,271,TO_RENOVATE,False,3.7334223,50.8775688,2,1328.3687943263,0,0,0,5000,-84600
8502341,FALSE,APARTMENT,327600,1000,75,1,True,False,0,True,5,False,False,0,75,AS_NEW,False,4.3491892,50.8648307,2,3432.5,0,0,0,5000,48000
8882349,FALSE,APARTMENT,335000,8200,108,2,True,False,0,True,11,False,False,0,108,AS_NEW,False,3.1995525,51.2003379,2,2173.1092436975,0,0,0,5000,71400
8732979,FALSE,APARTMENT,337000,8710,142,3,True,False,0,True,50,False,False,0,142,GOOD,False,3.3367664,50.8968484,2,1729.1666666667,0,0,0,5000,0
8835891,FALSE,APARTMENT,495000,1180,130,2,True,False,0,True,18,False,False,0,130,,False,4.3656539,50.803844,2,3310.8108108108,0,0,0,5000,0
8731296,FALSE,APARTMENT,650000,1180,166,3,True,False,0,True,35,False,False,0,166,,False,4.3688427,50.789011,2,3208.9552238806,0,0,0,5000,0
8347792,FALSE,APARTMENT,750000,8434,145,4,True,False,0,True,0,False,False,0,145,GOOD,False,2.7840573,51.1750555,2,5137.9310344828,0,0,0,5000,0
8420102,FALSE,PENTHOUSE,1100000,8500,235,3,True,False,0,True,237,False,False,0,235,,False,3.2557203,50.8296663,2,2319.9152542373,0,0,0,5000,0
8850155,FALSE,GROUND_FLOOR,2250000,8300,148,3,True,False,0,True,0,False,False,0,148,AS_NEW,False,3.319254,51.3578952,2,14568.9189189189,0,0,0,5000,88800
8745607,FALSE,APARTMENT,449000,3300,116,2,True,False,0,True,5,False,False,0,116,AS_NEW,False,4.9364665,50.807557,2,3069.4214876033,0,0,0,5000,72600
8851744,FALSE,APARTMENT,249000,1030,86,2,True,False,0,True,6,False,False,0,86,,False,4.3616395,50.8632347,2,2652.1739130435,0,0,0,5000,0
8808538,FALSE,SERVICE_FLAT,300000,8670,61,1,True,False,0,True,0,False,False,0,61,AS_NEW,False,2.617716,51.1115294,2,4236.0655737705,0,0,0,5000,36600
