source,house_is,property_subtype,price,postcode,area,rooms_number,equipped_kitchen_has,garden,garden_area,terrace,terrace_area,furnished,swimming_pool_has,land_surface,basement,building_state_agg,open_fire,longitude,latitude
9036916,FALSE,APARTMENT,220000,2170,101,2,True,False,0,True,17,False,False,0,101,AS_NEW,False,4.4400294,51.2468289
8934184,FALSE,APARTMENT,225000,9900,100,2,True,False,0,True,5,False,False,0,100,JUST_RENOVATED,False,3.5632897,51.1862814
9028997,FALSE,APARTMENT,198000,8400,72,2,True,False,0,False,0,True,False,0,72,JUST_RENOVATED,False,2.912168,51.2303827
9028759,FALSE,APARTMENT,220000,2900,75,2,True,False,0,True,3,False,False,0,75,JUST_RENOVATED,False,4.4647923,51.2469713
9032267,FALSE,APARTMENT,164000,4432,82,2,False,False,0,False,0,False,False,0,82,AS_NEW,False,5.4804632,50.6996364
9042516,FALSE,APARTMENT,220000,1030,86,2,False,False,0,False,0,False,False,0,86,,False,4.3858435,50.8684329
9042205,FALSE,PENTHOUSE,339750,1070,121,2,True,False,0,True,14,False,False,0,121,AS_NEW,False,4.308923,50.8308789
9034014,FALSE,FLAT_STUDIO,178000,9000,45,0,True,False,0,True,6,False,False,0,45,AS_NEW,False,3.7018208,51.036013
9033318,FALSE,DUPLEX,247500,9300,90,2,True,False,0,True,8,False,False,0,90,AS_NEW,False,4.0318623,50.9382913
9033626,FALSE,APARTMENT,316000,1000,106,2,True,False,0,True,14,False,False,0,106,AS_NEW,False,4.3491892,50.8648307
9019347,FALSE,FLAT_STUDIO,115000,8380,41,0,True,False,0,True,4,False,False,0,41,GOOD,False,3.2058316,51.3346998
8997909,FALSE,FLAT_STUDIO,130000,1030,37,0,True,False,0,False,0,False,False,0,37,JUST_RENOVATED,False,4.3651149,50.8645557
8996774,FALSE,FLAT_STUDIO,130000,1030,30,0,True,False,0,True,7,False,False,0,30,JUST_RENOVATED,False,4.3651149,50.8645557
9011943,FALSE,APARTMENT,135000,1070,55,1,True,False,0,False,0,False,False,0,55,TO_RENOVATE,False,4.3358302,50.8406577
8998484,FALSE,APARTMENT,145000,8400,85,2,True,False,0,False,0,False,False,0,85,GOOD,False,2.9427572,51.2293365
8948521,FALSE,APARTMENT,155000,8400,118,3,True,False,0,True,0,False,False,0,118,GOOD,False,2.9055215,51.2095095
9004932,FALSE,APARTMENT,159000,1200,60,1,True,False,0,True,15,False,False,0,60,JUST_RENOVATED,False,4.4226984,50.8430691
8965929,FALSE,APARTMENT,159500,8800,86,1,False,False,0,False,0,False,False,0,86,,False,3.1328681,50.9454731
9009876,FALSE,FLAT_STUDIO,170000,1050,30,1,True,False,0,False,0,False,False,0,30,GOOD,False,4.3853638,50.8100184
9015530,FALSE,APARTMENT,178000,9940,102,2,False,True,79,False,0,False,False,0,102,,False,3.6991484,51.1096091
8996772,FALSE,APARTMENT,180000,1030,66,1,True,False,0,False,0,False,False,0,66,JUST_RENOVATED,False,4.3651149,50.8645557
9003303,FALSE,APARTMENT,189000,8400,85,2,True,False,0,True,8,False,False,0,85,AS_NEW,False,2.9446347,51.2297684
9005384,FALSE,APARTMENT,195000,1470,65,1,True,False,0,True,24,False,False,0,65,AS_NEW,False,4.4476978,50.6084601
9001218,FALSE,APARTMENT,198500,8710,97,2,True,False,0,True,7,False,False,0,97,GOOD,False,3.3952565,50.9109444
9001217,FALSE,APARTMENT,198500,8710,97,2,True,False,0,True,7,False,False,0,97,GOOD,False,3.3952565,50.9109444
8970263,FALSE,APARTMENT,219000,2530,90,2,True,False,0,True,8,False,False,0,90,GOOD,False,4.4827938,51.1566115
9005834,FALSE,APARTMENT,220000,1080,95,2,True,False,0,False,0,False,False,0,95,GOOD,False,4.3231554,50.8616139
9009600,FALSE,APARTMENT,235000,1470,84,2,True,False,0,True,0,False,False,0,84,AS_NEW,False,4.4476978,50.6084601
9005385,FALSE,APARTMENT,235000,1470,84,2,True,False,0,True,24,False,False,0,84,AS_NEW,False,4.4476978,50.6084601
9005383,FALSE,APARTMENT,235000,1470,84,2,True,False,0,True,24,False,False,0,84,AS_NEW,False,4.4476978,50.6084601
9009599,FALSE,APARTMENT,239000,1470,84,2,True,False,0,True,0,False,False,0,84,AS_NEW,False,4.4476978,50.6084601
9009597,FALSE,APARTMENT,239000,1470,84,2,True,False,0,True,0,False,False,0,84,AS_NEW,False,4.4476978,50.6084601
9005350,FALSE,APARTMENT,242000,1470,87,2,True,False,0,True,24,False,False,0,87,AS_NEW,False,4.4476978,50.6084601
8988347,FALSE,APARTMENT,244000,2530,84,2,True,False,0,True,18,False,False,0,84,AS_NEW,False,4.501263,51.164782
8910553,FALSE,APARTMENT,260000,8570,103,2,False,False,0,True,27,False,False,0,103,AS_NEW,False,3.4428012,50.8122982
8924716,FALSE,PENTHOUSE,264500,2390,102,2,True,False,0,True,0,False,False,0,102,AS_NEW,False,4.739268,51.3008734
8924715,FALSE,PENTHOUSE,274500,2390,110,2,True,False,0,True,0,False,False,0,110,AS_NEW,False,4.739268,51.3008734
8982030,FALSE,APARTMENT,279000,2530,92,2,True,False,0,True,30,False,False,0,92,GOOD,False,4.5022288,51.1649081
9003673,FALSE,APARTMENT,290000,1140,99,3,True,False,0,True,15,False,False,0,99,,False,4.4181989,50.8634326
9019454,FALSE,APARTMENT,330000,1000,110,1,True,False,0,False,0,False,False,0,110,,False,4.3510854,50.84849
8963364,FALSE,PENTHOUSE,359000,1200,110,2,True,False,0,True,4,False,False,0,110,AS_NEW,False,4.4134763,50.8405484
7940080,FALSE,DUPLEX,360000,8370,100,2,True,False,0,True,17,False,False,0,100,,False,3.124666,51.3148201
8981545,FALSE,APARTMENT,396700,9300,127,3,True,False,0,True,32,False,False,0,127,,False,4.0647718,50.9292466
8982103,FALSE,APARTMENT,495000,1040,104,2,True,False,0,True,2,False,False,0,104,JUST_RENOVATED,False,4.3874568,50.8390205
8992219,FALSE,APARTMENT,550000,1200,136,2,True,False,0,True,17,False,False,0,136,AS_NEW,False,4.4365933,50.8416411
8989363,FALSE,APARTMENT,550000,1200,136,3,True,False,0,True,17,False,False,0,136,AS_NEW,False,4.4365933,50.8416411
8964035,FALSE,GROUND_FLOOR,1495000,1180,371,3,True,True,250,True,40,False,False,0,371,AS_NEW,False,4.3758237,50.7989158
9036628,FALSE,APARTMENT,725000,8300,102,3,True,False,0,False,0,False,False,0,102,AS_NEW,False,3.287023,51.3466218
9028256,FALSE,APARTMENT,239000,1030,66,2,True,False,0,True,0,False,False,0,66,JUST_RENOVATED,False,4.4048871,50.8492821
9027540,FALSE,APARTMENT,379000,9000,109,2,True,False,0,False,0,False,False,0,109,AS_NEW,False,3.7143165,51.0555829
9041192,FALSE,FLAT_STUDIO,89000,4460,46,1,True,False,0,False,0,False,False,0,46,AS_NEW,False,5.5048265,50.6403106
9023542,FALSE,APARTMENT,127500,7000,58,1,True,False,0,True,6,False,False,0,4,AS_NEW,False,3.8972421,50.4508112
9032819,FALSE,APARTMENT,165000,1020,77,1,True,False,0,False,0,False,False,0,77,,False,4.3590987,50.8745597
9023581,FALSE,APARTMENT,175000,7000,95,2,True,False,0,True,11,False,False,0,4,AS_NEW,False,3.8972421,50.4508112
8975382,FALSE,APARTMENT,189500,6890,85,2,True,False,0,True,10,False,False,0,85,,False,5.2564503,49.9811917
8958134,FALSE,APARTMENT,249000,9280,100,2,False,False,0,False,0,False,False,0,100,,False,4.1355766,51.0035499
9016830,FALSE,APARTMENT,275000,9140,92,2,True,False,0,True,14,False,False,0,92,,False,4.2071756,51.1210453
9014652,FALSE,FLAT_STUDIO,296500,1050,43,0,True,False,0,True,12,False,False,0,43,AS_NEW,False,4.3693907,50.8186875
9034801,FALSE,APARTMENT,106000,4040,100,3,True,False,0,False,0,False,False,0,100,GOOD,False,5.6129994,50.6560427
8975623,FALSE,APARTMENT,155000,3500,45,1,True,False,0,False,0,False,False,0,45,AS_NEW,False,5.3428964,50.9169052
9026310,FALSE,FLAT_STUDIO,259000,3000,40,1,True,False,0,False,0,True,False,0,40,AS_NEW,False,4.7032552,50.8883865
9028831,FALSE,GROUND_FLOOR,245000,1083,85,2,True,True,80,True,0,False,False,0,85,TO_RENOVATE,False,4.3205749,50.8690276
9039483,FALSE,APARTMENT,274000,9300,89,2,True,False,0,True,20,False,False,0,89,,False,4.0472536,50.9313082
9039487,FALSE,APARTMENT,276000,9300,84,2,True,False,0,True,13,False,False,0,84,,False,4.0486434,50.9316813
9039484,FALSE,APARTMENT,281000,9300,89,2,True,False,0,True,20,False,False,0,89,,False,4.0472536,50.9313082
9039485,FALSE,APARTMENT,386000,9300,116,2,True,False,0,True,27,False,False,0,116,,False,4.0505703,50.9313604
9033625,FALSE,APARTMENT,247000,1000,78,1,True,False,0,False,0,False,False,0,78,AS_NEW,False,4.3446435,50.8641071
9033624,FALSE,APARTMENT,303000,1000,91,0,True,False,0,True,8,False,False,0,91,AS_NEW,False,4.3446435,50.8641071
9013728,FALSE,APARTMENT,80000,3700,60,2,True,False,0,True,3,False,False,0,4,TO_RENOVATE,False,5.4598839,50.7826904
8924220,FALSE,FLAT_STUDIO,86000,8620,25,0,True,False,0,False,0,False,False,0,25,AS_NEW,False,2.713653,51.1464216
8960382,FALSE,FLAT_STUDIO,99000,8400,40,0,True,False,0,False,0,False,False,0,40,GOOD,False,2.8949712,51.2223407
